SO,PHOTON,,S,O,,,1.000,so.pd
SO2,PHOTON,,SO,O,,,1.000,so2.pd
Si,PHOTON,,Si+,e-,,,1.000,si.pi
SiH,PHOTON,,Si,H,,,1.000,sih.pd
SiH+,PHOTON,,Si+,H,,,1.000,sih+.pd
SiO,PHOTON,,Si,O,,,1.000,sio.pd
Li,PHOTON,,Li+,e-,,,1.000,li.pi
LiH,PHOTON,,Li,H,,,1.000,lih.pd
Na,PHOTON,,Na+,e-,,,1.000,na.pi
NaH,PHOTON,,Na,H,,,1.000,nah.pd
Mg,PHOTON,,Mg+,e-,,,1.000,mg.pi
MgH,PHOTON,,Mg,H,,,1.000,mgh.pd
Al,PHOTON,,Al+,e-,,,1.000,al.pi
AlH,PHOTON,,Al,H,,,1.000,alh.pd
P,PHOTON,,P+,e-,,,1.000,p.pi
PH,PHOTON,,P,H,,,1.000,ph.pd
Cl,PHOTON,,Cl+,e-,,,1.000,cl.pi
HCl,PHOTON,,HCl+,e-,,,1.000,hcl.pi
HCl,PHOTON,,Cl,H,,,1.000,hcl.pd
HCl+,PHOTON,,Cl+,H,,,1.000,hcl+.pd
K,PHOTON,,K+,e-,,,1.000,k.pi
Ca,PHOTON,,Ca+,e-,,,1.000,ca.pi
Ca+,PHOTON,,Ca++,e-,,,1.000,ca+.pi
Ti,PHOTON,,Ti+,e-,,,1.000,ti.pi
Cr,PHOTON,,Cr+,e-,,,1.000,cr.pi
Mn,PHOTON,,Mn+,e-,,,1.000,mn.pi
Fe,PHOTON,,Fe+,e-,,,1.000,fe.pi
Ni,PHOTON,,Ni+,e-,,,1.000,ni.pi
Zn,PHOTON,,Zn+,e-,,,1.000,zn.pi
