159,CN,0.00E+00,26.0
160,CH3,0.00E+00,15.0
161,He,8.50E-02,4.0
162,C,1.40E-04,12.0
163,N,5.20E-05,14.0
164,OH,0.00E+00,17.0
165,CO,0.00E+00,28.0
166,O,3.40E-04,16.0
167,H2,3.00E-01,2.0
168,H,4.00E-01,1.0
169,e-,0.00E+00,0.0
