1,H,CRP,,H+,e-,,,5.98E-18,0.00,0.0,,10,1000,,
2,H2,CRP,,H,H,,,1.30E-18,0.00,0.0,,10,1000,,
3,H2,CRP,,H,H+,e-,,2.86E-19,0.00,0.0,,10,1000,,
4,H2,CRP,,H2+,e-,,,1.21E-17,0.00,0.0,,10,1000,,
5,H,H,#,H2,#,,,5.20E-17,0.50,0.0,,10,1000,,
6,H,H2+,,H2,H+,,,6.40E-10,0.00,0.0,,10,1000,,
7,H2,H2+,,H,H3+,,,2.10E-09,0.00,0.0,,10,1000,,
8,H+,H2,,H2+,H,,,1.30E-09,0.00,21300.0,,10,1000,,
9,H3+,H,,H2+,H2,,,2.10E-09,0.00,20000.0,,10,1000,,
10,H,H+,,H2+,PHOTON,,,5.13E-19,1.85,0.0,,10,1000,,
11,H,H,,H2,PHOTON,,,4.00E-27,0.00,0.0,,10,1000,,
12,H2+,e-,,H,H,,,1.60E-08,-0.43,0.0,,10,1000,,
13,H3+,e-,,H,H,H,,4.36E-08,-0.52,0.0,,10,1000,,
14,H3+,e-,,H,H2,,,2.34E-08,-0.52,0.0,,10,1000,,
15,H+,e-,,H,PHOTON,,,3.50E-12,-0.70,0.0,,10,1000,,
16,H2+,e-,,H2,PHOTON,,,2.25E-07,-0.40,0.0,,10,1000,,
17,H2+,PHOTON,,H+,H,,,5.70E-10,0.00,2.4,,10,1000,,
18,H3+,PHOTON,,H+,H2,,,5.00E-15,0.00,1.8,,10,1000,,
19,H3+,PHOTON,,H2+,H,,,5.00E-15,0.00,2.3,,10,1000,,
20,H2,PHOTON,,H,H,,,5.18E-11,0.00,0.0,,10,1000,,
21,He,CRP,,He+,e-,,,6.50E-18,0.00,0.0,,10,1000,,
22,H,HeH+,,He,H2+,,,9.00E-10,0.00,0.0,,10,1000,,
23,H2,HeH+,,He,H3+,,,1.80E-09,0.00,0.0,,10,1000,,
24,H,He+,,He,H+,,,1.90E-15,0.00,0.0,,10,1000,,
25,H2,He+,,H,He,H+,,3.70E-14,0.00,35.0,,10,1000,,
