Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
         1 , -3.180155828E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         2 , -3.180155812E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         3 , -3.180155810E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         4 , -3.180155809E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         5 , -3.180155807E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         6 , -3.180155805E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         7 , -3.180155804E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         8 , -3.180155802E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         9 , -3.180155801E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        10 , -3.180155799E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        11 , -3.180155797E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        12 , -3.180155796E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        13 , -3.180155794E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        14 , -3.180155793E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        15 , -3.180155791E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        16 , -3.180155789E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        17 , -3.180155788E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        18 , -3.180155786E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        19 , -3.180155785E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        20 , -3.180155783E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        21 , -3.180155782E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        22 , -3.180155780E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        23 , -3.180155778E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        24 , -3.180155777E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        25 , -3.180155775E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        26 , -3.180155774E+17 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
