74,D,CH,,C,D,H,,6.00E-09,0.00,40200.0,,,,,
75,D,CH,,C,HD,,,4.98E-11,0.00,0.0,,,,,
76,D,CD,,C,D,D,,6.00E-09,0.00,40200.0,,,,,
77,D,CD,,C,D2,,,4.98E-11,0.00,0.0,,,,,
78,D,CH2,,CH,HD,,,1.80E-10,0.00,0.0,,,,,
79,D,CH2,,CD,H2,,,9.00E-11,0.00,0.0,,,,,
80,D,NH,,N,HD,,,1.73E-11,0.50,2400.0,,,,,
81,D,CHD,,CH,D2,,,9.50E-11,0.00,0.0,,,,,
82,D,CHD,,CD,HD,,,1.80E-10,0.00,0.0,,,,,
83,D,CH3,,CH2,HD,,,5.00E-11,0.00,7600.0,,,,,
84,D,CH3,,CHD,H2,,,5.00E-11,0.00,7600.0,,,,,
85,D,ND,,N,D2,,,1.73E-11,0.50,2400.0,,,,,
86,D,CD2,,CD,D2,,,2.70E-10,0.00,0.0,,,,,
87,D,NH2,,NH,HD,,,3.50E-12,0.80,2200.0,,,,,
88,D,NH2,,ND,H2,,,1.75E-12,0.80,2200.0,,,,,
89,D,CH2D,,CH2,D2,,,3.30E-11,0.00,7600.0,,,,,
90,D,CH2D,,CHD,HD,,,6.60E-11,0.00,7600.0,,,,,
91,D,CH4,,H2,CH2D,,,3.49E-13,3.00,4045.0,,,,,
92,D,CH4,,HD,CH3,,,2.33E-13,3.00,4045.0,,,,,
93,D,OH,,HD,O,,,7.00E-14,2.80,1950.0,,,,,
94,D,OH,,O,D,H,,6.00E-09,0.00,50900.0,,,,,
95,D,NHD,,NH,D2,,,1.75E-12,0.80,2200.0,,,,,
96,D,NHD,,ND,HD,,,3.50E-12,0.80,2200.0,,,,,
97,D,CHD2,,CHD,D2,,,6.67E-11,0.00,7600.0,,,,,
98,D,CHD2,,CD2,HD,,,3.33E-11,0.00,7600.0,,,,,
99,D,NH3,,NH2,HD,,,3.90E-13,2.40,4990.0,,,,,
100,D,NH3,,NHD,H2,,,3.90E-13,2.40,4990.0,,,,,
101,D,CH3D,,HD,CH2D,,,3.88E-13,3.00,4045.0,,,,,
102,D,CH3D,,D2,CH3,,,1.94E-13,3.00,4045.0,,,,,
103,D,OD,,D2,O,,,7.00E-14,2.80,1950.0,,,,,
104,D,OD,,O,D,D,,6.00E-09,0.00,50900.0,,,,,
105,D,H2O,,OH,D,H,,4.00E-09,0.00,52900.0,,,,,
106,D,H2O,,OH,HD,,,4.55E-12,1.60,9720.0,,,,,
107,D,H2O,,OD,H,H,,2.00E-09,0.00,52900.0,,,,,
108,D,H2O,,OD,H2,,,2.28E-12,1.60,9720.0,,,,,
109,D,ND2,,ND,D2,,,5.25E-12,0.80,2200.0,,,,,
110,D,CD3,,CD2,D2,,,1.00E-10,0.00,7600.0,,,,,
111,D,NH2D,,NH2,D2,,,1.95E-13,2.40,4990.0,,,,,
112,D,NH2D,,NHD,HD,,,3.90E-13,2.40,4990.0,,,,,
113,D,NH2D,,ND2,H2,,,1.95E-13,2.40,4990.0,,,,,
114,D,CH2D2,,HD,CHD2,,,2.91E-13,3.00,4045.0,,,,,
115,D,CH2D2,,D2,CH2D,,,2.91E-13,3.00,4045.0,,,,,
116,D,HDO,,OH,D,D,,1.93E-09,0.00,52900.0,,,,,
117,D,HDO,,OH,D2,,,2.28E-12,1.60,9720.0,,,,,
118,D,HDO,,OD,D,H,,3.87E-09,0.00,52900.0,,,,,
119,D,HDO,,OD,HD,,,4.55E-12,1.60,9720.0,,,,,
120,D,NHD2,,NHD,D2,,,3.90E-13,2.40,4990.0,,,,,
121,D,NHD2,,ND2,HD,,,3.90E-13,2.40,4990.0,,,,,
122,D,CHD3,,HD,CD3,,,1.45E-13,3.00,4045.0,,,,,
123,D,CHD3,,D2,CHD2,,,4.37E-13,3.00,4045.0,,,,,
124,D,D2O,,OD,D,D,,5.80E-09,0.00,52900.0,,,,,
125,D,D2O,,OD,D2,,,6.83E-12,1.60,9720.0,,,,,
126,D,ND3,,ND2,D2,,,7.80E-13,2.40,4990.0,,,,,
127,D,CD4,,D2,CD3,,,5.82E-13,3.00,4045.0,,,,,
128,D,C2,,CD,C,,,4.67E-10,0.50,30450.0,,,,,
129,D,HCN,,CN,HD,,,6.31E-10,0.00,12400.0,,,,,
130,D,C2H3,,C2H2,HD,,,1.00E-11,0.00,0.0,,,,,
131,D,C2H3,,C2HD,H2,,,1.00E-11,0.00,0.0,,,,,
132,D,CO,,C,OD,,,1.10E-10,0.50,77700.0,,,,,
133,D,DCN,,CN,D2,,,6.31E-10,0.00,12400.0,,,,,
134,D,C2H2D,,C2H2,D2,,,6.70E-12,0.00,0.0,,,,,
135,D,C2H2D,,C2HD,HD,,,1.33E-11,0.00,0.0,,,,,
136,D,HCO,,CO,HD,,,1.50E-10,0.00,0.0,,,,,
137,D,NO,,ND,O,,,9.29E-10,-0.10,35220.0,,,,,
138,D,NO,,OD,N,,,2.82E-10,0.00,24560.0,,,,,
139,D,DCO,,CO,D2,,,1.50E-10,0.00,0.0,,,,,
140,D,H2CO,,HCO,HD,,,1.00E-11,1.00,1650.0,,,,,
141,D,H2CO,,DCO,H2,,,5.00E-12,1.00,1650.0,,,,,
142,D,HDCO,,HCO,D2,,,5.00E-12,1.00,1650.0,,,,,
143,D,HDCO,,DCO,HD,,,1.00E-11,1.00,1650.0,,,,,
144,D,O2,,O,O,D,,6.00E-09,0.00,52300.0,,,,,
145,D,O2,,OD,O,,,3.30E-10,0.00,8460.0,,,,,
146,D,D2CO,,DCO,D2,,,1.50E-11,1.00,1650.0,,,,,
147,D,CO2,,OD,CO,,,2.50E-10,0.00,13300.0,,,,,
148,H2,D,,HD,H,,,7.50E-11,0.00,3820.0,,,,,
149,H2,H2,,H,H2,H,,1.00E-08,0.00,84100.0,,,,,
